Sample	PrimaryPop	popCode	notes
LS02	St.Cruz	STC	bad
LS03	St.Cruz	STC	bad
LS05	St.Cruz	STC	bad
LS06	St.Cruz	STC	bad
LS08	St.Cruz	STC	good
LS09	St.Cruz	STC	bad
LS10	St.Cruz	STC	good
LS12	St.Cruz	STC	bad
LS13	St.Cruz	STC	bad
LS14	St.Cruz	STC	good
LS15	St.Cruz	STC	good
LS21	Isabela	ISA	good
LS22	Isabela	ISA	bad
LS25	Isabela	ISA	bad
LS26	Isabela	ISA	bad
LS27	Isabela	ISA	good
LS28	Isabela	ISA	bad
LS29	Isabela	ISA	good
LS31	Isabela	ISA	good
LS32	Pinta	PIN	good
LS33	Pinta	PIN	good
LS34	Pinta	PIN	good
LS35	Pinta	PIN	good
LS36	Pinta	PIN	good
LS37	Pinta	PIN	good
LS38	Pinta	PIN	good
LS39	Pinta	PIN	good
LS40	Pinta	PIN	good
LS43	Santiago	SAN	good
LS44	Santiago	SAN	good
LS49	Santiago	SAN	good
LS50	Santiago	SAN	good
LS51	Santiago	SAN	good
LS52	Santiago	SAN	good
LS55	Santiago	SAN	good
LS56	Santiago	SAN	bad
LS57	Santiago	SAN	good
LS58	Santiago	SAN	good
LS60	Santiago	SAN	good
